id;code_etudiant;nom;prenom;age;email
1;40540;Tonga Soap deliverables;exploit back-end paradigms;3837;Rafael10@gmail.com
2;99700;Division Wooden;red Incredible Shirt;63168;Evans_Quigley@gmail.com
3;63348;Frozen impactful Soft;ADP;3229;Floyd49@yahoo.com
4;60598;Intranet Buckinghamshire;Missouri;62450;Cyril_Koch@gmail.com
5;8495;Account;Communications ability;64594;Justus.Brekke85@gmail.com
6;43438;Borders;hack optimize next-generation;36005;Isabelle_Hermiston@yahoo.com
7;52356;reboot;bandwidth;13036;Stacey.Rath@hotmail.com
8;73616;Licensed Quality;Architect USB Missouri;14030;Gerda.Sauer87@yahoo.com
9;82195;Handmade Account;Botswana repurpose base;12872;Madilyn.Romaguera@gmail.com
10;84327;cross-media cyan;Operative cross-platform;67054;Emile23@gmail.com
